stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
34.121212,,-117.491181,,409,Baseline Av N Heritage Cir,Baseline @ Cherry Eb Ns,0
34.135762,,-117.231917,,5994,E Highland Av Eucalyptus Dr,Highland @ Eucalyptus Eb Fs,0
34.135749,,-117.21974,,5997,E Highland Av Central Av,Highland @ Patton Eb Ns,0
34.135754,,-117.225722,,5996,E Highland Av Eucalyptus Dr,Highland @ Victoria Eb Fs,0
34.135803,,-117.246973,,5991,E Highland Av Merito Pl,Highland @ Merito Eb Fs,0
34.135793,,-117.252206,,5990,E Highland Av Del Rosa Av,Highland @ Del Rosa Eb Fs,0
34.135801,,-117.239402,,5993,E Highland Av N Guthrie St,Highland @ Guthrie Eb Ns,0
34.135787,,-117.243379,,5992,E Highland Av Sterling Av,Highland @ Sterling Eb Fs,0
34.135723,,-117.208525,,5999,E Highland Av N Palm Av,Highland @ Palm Eb Fs,0
34.135723,,-117.212961,,5998,E Highland Av N Orange St,Highland @ Orange Eb Fs,0
34.106676,,-117.400799,,5663,State Rte 66 W Foothill Blvd,Foothill @ Linden Eb Fs,0
34.11571,,-117.251828,,6534,E 9th St Del Rosa Dr,9th @ Del Rosa Eb Fs,0
34.106711,,-117.378618,,5667,State Rte 66 Unnamed St,Foothill @ Lilac Eb Fs,0
34.041283,,-117.641537,,7528,S Campus Av E Francis St,Campus @ Francis Nb Fs,0
34.045149,,-117.641573,,7529,S Campus Ave E De Anza St,Campus @ De Anza Nb Lat,0
34.169441,,-117.31645,,8297,,Sbx- Kendall@little Mountain Nb Fs,0
34.169174,,-117.316142,,8296,,Sbx- Kendall@little Mountain Sb Fs,0
34.178902,,-117.314631,,6143,W Northpark Blvd New Jersey St,Northpark @ Little Mtn Eb Ns,0
34.178483,,-117.326715,,6142,W Northpark Blvd N F St,Northpark @ University Eb Fs,0
34.171743,,-117.309136,,6146,48th St N 4th Av,48th @ 4th Eb Fs,0
34.172127,,-117.314892,,6145,N Little Mountain Dr Stonegate Ln,Little Mtn @ 48th Sb Ns,0
34.176691,,-117.314781,,6144,N Little Mountain Dr,Little Mtn @ Sundance Sb Fs,0
34.164576,,-117.302603,,6149,W 40th St Krauss Pl,40th @ F Eb Fs,0
34.167956,,-117.302814,,6148,N F St N W 41st St N,Fst @ 41st Sb Fs,0
34.070424,,-117.398823,,6781,Valley Blvd Locust Av,Valley @ Orchard Eb Fs,0
34.063254,,-117.401329,,6783,Slover Ave Maple Ave,Slover @ Linden Wb Fs,0
34.063197,,-117.406917,,6784,Slover Av Locust Av,Slover @ Maple Wb Fs,0
34.044867,,-117.409487,,6789,Locust Av Santa Ana Av,Locust @ 11th Sb Ns,0
34.050871,,-117.409494,,6788,Locust Av Santa Ana Av,Locust @ Jurupa Sb Mid,0
34.077197,,-117.501048,,5846,San Bernardino Av Calabash Av,San Bernardino @ Calabash Eb Fs,0
34.077201,,-117.515695,,5842,N San Bernardino Ave W N Commerce Dr W,San Bernardino @ Commerce Eb Fs,0
34.077125,,-117.522298,,5841,San Bernardino Av Transportation Wy,San Bernardino @ Transportation Eb,0
34.077183,,-117.529636,,5840,4th St Barrington Av,4th St @ Barrington Eb Fs,0
34.077299,,-117.487998,,5849,San Bernardino Av Cherry Av,San Bernardino @ Cherry Eb Fs,0
34.077301,,-117.492878,,5848,San Bernardino Av Almond Av,San Bernardino @ Almond Eb Fs,0
34.101092,,-117.568929,,7864_merged_950479,Red Oak St Civic Center Dr,Red Oak @ Civic Center,0
34.140592,,-117.294074,,5543,N E St W Courtland Dr,E St @ 27th Nb Fs,0
34.107635,,-117.291817,,7852,N D St W 5th St,Dst @ 5th St,0
34.138452,,-117.294214,,7850,N E St W 25th St,Est @ 25th Sb Fs,0
33.982464,,-117.715191,,7856,Pipeline @ Chino Hills Pkwy Chino Hills Pky,Pipeline @ Chino Hills Pkwy,0
34.066985,,-117.646673,,176,E D St N Sultana Ave,D St @ Sultana Eb Ns,0
34.063121,,-117.717908,,175,E Holt Av Holt Blvd,Holt @ Mills Eb Ns,0
34.05917,,-117.751224,,174,Pomona Tc N Main St,Pomona Trans Center,0
34.128671,,-117.436089,,6308_merged_950486,Walnut St Baseline Av,Walnut @ Sierra Wb Fs,0
34.121279,,-117.375395,,6369,W Baseline Rd N Lilac Av,Baseline @ Willow Eb Ns,0
34.121277,,-117.378705,,6368,W Baseline Rd N Lilac Av,Baseline @ Lilac Eb Fs,0
34.121295,,-117.404802,,6363,W Baseline Rd N Maple Av,Baseline @ Maple Eb Fs,0
34.121277,,-117.410089,,6362,W Baseline Rd Locust Av,Baseline @ Locust Eb Ns,0
34.121272,,-117.413508,,6361,W Baseline Rd Laurel Av,Baseline @ Laurel Eb Fs,0
34.121282,,-117.417965,,6360,W Baseline Rd Alder Av,Baseline @ Alder Eb Fs,0
34.12129,,-117.382998,,6367,W Baseline Rd N Cactus Av,Baseline @ Cactus Eb Fs,0
34.121282,,-117.391322,,6366,W Baseline Rd N Glenwood Av,Baseline @ Glenwood Eb Fs,0
34.121196,,-117.396292,,6365,W Baseline Rd N Ayala Dr,Baseline @ Cedar Eb Fs,0
34.121276,,-117.401066,,6364,W Baseline Rd N Linden Av,Baseline @ Linden Eb Fs,0
34.077448,,-117.497661,,5882_merged_950523,San Bernardino Av Banana Av,San Bernardino @ Banana Wb Lat,0
34.063457,,-117.641586,,5912_merged_950511,E Holt Blvd N Campus Av,Holt @ Campus Wb Fs,0
34.019021,,-117.692924,,7352,Riverside Dr 5th St,Riverside @ 5th  Eb Fs,0
34.121539,,-117.558636,,7218,Baseline Rd Milliken Av,Baseline @ Milliken Wb Fs,0
34.121511,,-117.568238,,7219,Baseline Rd Milliken Av,Baseline @ Spruce Wb Fs,0
34.115999,,-117.291996,,6607_merged_950474,N D St W 10th St,D Street @ 9th Sb Fs,0
34.121614,,-117.5083,,7210,Baseline Av Las Palmas Dr,Baseline @ Las Palmas Wb Fs,0
34.121509,,-117.517355,,7211,N Baseline Rd N N East Ave N,Baseline @ Forester Wb Ns,0
34.120945,,-117.523625,,7212,Baseline Rd Etiwanda Av,Baseline @ Etiwanda Wb Fs,0
34.121066,,-117.529591,,7213,Baseline Rd Victoria Park Ln,Baseline @ Victoria Park Wb Fs,0
34.121624,,-117.535588,,7214,Baseline Rd San Sevaine Rd,Baseline @ Day Creek Wb Ns,0
34.121567,,-117.545506,,7215,Baseline Rd Rochester Av,Baseline @ Rochester Wb Fs,0
34.12154,,-117.551022,,7216,Baseline Rd Ellena E,Baseline @ Mountain View Wb Ns,0
34.121563,,-117.555436,,7217,Baseline Rd Ellena W,Baseline @ Ellena Wb Fs,0
34.063122,,-117.650992,,6217,S Euclid Av State Rte 83,Euclid @ Holt Sb Fs,0
34.07055,,-117.67012,,6213,N Mountain Av W G St,Mountain @ G Sb Fs,0
34.074193,,-117.670098,,6212,N Mountain Av W I St,Mountain @ I Sb Fs,0
34.077807,,-117.670141,,6211,N Mountain Av W J St,Mountain @ 4th Sb Fs,0
34.08124,,-117.670211,,6210,N Mountain Av W Yale St,Mountain @ 5th St Sb Fs,0
34.05488,,-117.650996,,6219,S Euclid Av E Carlton St,Euclid @ Mission Sb Fs,0
34.057868,,-117.651025,,6218,S Euclid Av E Nevada St,Euclid @ Sunkist Sb Fs,0
