stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3270,1,15TH AVE & WEST PORTAL AVE   , ,37.736387,-122.470381, , 
3272,1,16TH AVE & LAWTON ST   , ,37.75811,-122.47367, , 
3273,1,16TH AVE & LAWTON ST  , ,37.7593,-122.4737, , 
3275,1,16TH AVE & LOMITA AVE  , ,37.75697,-122.47351, , 
3276,1,16TH AVE & MORAGA ST   , ,37.7563,-122.47361, , 
3277,1,16TH AVE & MORAGA ST  , ,37.75636,-122.47368, , 
3278,1,16TH AVE & NORIEGA ST  , ,37.75425,-122.47321, , 
3279,1,16TH AVE & ORTEGA ST  , ,37.7524,-122.47309, , 
3280,1,16TH AVE & PACHECO ST  , ,37.75054,-122.47295, , 
3281,1,16TH ST & BRYANT ST  , ,37.765658,-122.410294, , 
3282,1,16TH ST & BRYANT ST  , ,37.765595,-122.410408, , 
3283,1,16TH ST & CHURCH ST  , ,37.764579,-122.428523, , 
3284,1,16TH ST & DOLORES ST  , ,37.764731,-122.426156, , 
3285,1,16TH ST & DOLORES ST  , ,37.764575,-122.426579, , 
3286,1,16TH ST & GUERRERO ST  , ,37.764853,-122.423959, , 
3287,1,16TH ST & GUERRERO ST  , ,37.76472,-122.424256, , 
3288,1,16TH ST & HARRISON ST  , ,37.765523,-122.412976, , 
3289,1,16TH ST & HARRISON ST  , ,37.765377,-122.41329, , 
3291,1,16TH ST & MISSION ST  , ,37.765143,-122.4196, , 
3292,1,16TH ST & MISSION ST  , ,37.76502,-122.41928, , 
3293,1,16TH ST & MISSION ST  , ,37.764983,-122.419835, , 
3295,1,16TH ST & POTRERO AVE  , ,37.7658,-122.407624, , 
3296,1,16TH ST & POTRERO AVE  , ,37.765764,-122.407612, , 
3297,1,16TH ST & SAN BRUNO AVE  , ,37.765861,-122.405515, , 
3299,1,16TH ST & SHOTWELL ST  , ,37.765218,-122.416048, , 
3300,1,16TH ST & VALENCIA ST  , ,37.764987,-122.421746, , 
3301,1,16TH ST & VALENCIA ST  , ,37.764849,-122.422056, , 
3302,1,16TH ST & VERMONT ST  , ,37.766039,-122.40469, , 
3304,1,17TH AVE & RIVERA ST  , ,37.74698,-122.47391, , 
3305,1,17TH AVE & RIVERA ST  , ,37.746745,-122.473707, , 
3306,1,17TH AVE & SANTIAGO ST  , ,37.74511,-122.47374, , 
3307,1,17TH ST & BELVEDERE ST  , ,37.76176,-122.44768, , 
3309,1,17TH ST & CLAYTON ST  , ,37.761854,-122.446702, , 
3310,1,17TH ST & COLE ST  , ,37.76168,-122.44898, , 
3311,1,17TH ST & CASTRO ST  , ,37.762576,-122.434979, , 
3312,1,17TH ST & DE HARO ST  , ,37.764904,-122.401451, , 
3313,1,17TH ST & DE HARO ST  , ,37.764771,-122.401711, , 
3314,1,17TH ST & DIAMOND ST  , ,37.762415,-122.437489, , 
3317,1,17TH ST & KANSAS ST  , ,37.764727,-122.403544, , 
3321,1,18TH ST & 3RD ST  , ,37.762992,-122.388925, , 
3322,1,18TH ST & CHURCH ST  , ,37.76137,-122.428195, , 
3323,1,18TH ST & CHURCH ST  , ,37.761245,-122.428138, , 
3324,1,18TH ST & CONNECTICUT ST  , ,37.76258,-122.397352, , 
3325,1,18TH ST & CASTRO ST  , ,37.760952,-122.435151, , 
3326,1,18TH ST & CASTRO ST  , ,37.760845,-122.434842, , 
3327,1,18TH ST & DANVERS ST  , ,37.760355,-122.44354, , 
3328,1,18TH ST & DANVERS ST  , ,37.76024,-122.44349, , 
3329,1,18TH ST & DIAMOND ST  , ,37.760702,-122.437294, , 
3330,1,18TH ST & DOLORES ST  , ,37.761486,-122.426236, , 
3331,1,18TH ST & DOLORES ST  , ,37.761388,-122.425927, , 
3332,1,18TH ST & EUREKA ST  , ,37.760765,-122.438154, , 
3333,1,18TH ST & GUERRERO ST  , ,37.761619,-122.423955, , 
3334,1,18TH ST & GUERRERO ST  , ,37.761521,-122.423646, , 
3335,1,18TH ST & HATTIE ST  , ,37.760586,-122.441087, , 
3336,1,18TH ST & HATTIE ST  , ,37.760488,-122.440778, , 
3337,1,18TH ST & MINNESOTA ST  , ,37.762874,-122.390848, , 
3338,1,18TH ST & MISSION ST  , ,37.761895,-122.419509, , 
3339,1,18TH ST & MARKET ST  , ,37.759792,-122.444445, , 
3340,1,18TH ST & NOE ST  , ,37.761094,-122.432688, , 
3341,1,18TH ST & NOE ST  , ,37.76096,-122.432905, , 
3342,1,18TH ST & PENNSYLVANIA AVE  , ,37.762828,-122.393471, , 
3343,1,18TH ST & PENNSYLVANIA AVE  , ,37.762732,-122.39322, , 
3344,1,18TH ST & SANCHEZ ST  , ,37.761228,-122.430464, , 
3345,1,18TH ST & SANCHEZ ST  , ,37.761094,-122.430682, , 
3346,1,18TH ST & TEXAS ST  , ,37.762701,-122.395422, , 
3347,1,18TH ST & TEXAS ST  , ,37.762621,-122.39516, , 
3348,1,18TH ST & VALENCIA ST  , ,37.761762,-122.421732, , 
3349,1,18TH ST & VALENCIA ST  , ,37.761663,-122.421423, , 
3352,1,19TH AVE & BUCKINGHAM WAY  , ,37.725732,-122.475063, , 
3354,1,19TH AVE & EUCALYPTUS DR  , ,37.731175,-122.474962, , 
3355,1,19TH AVE & EUCALYPTUS DR  , ,37.73097,-122.47472, , 
3356,1,19TH AVE & HOLLOWAY AVE  , ,37.72111,-122.475302, , 
3357,1,19TH AVE & HOLLOWAY AVE, ,37.72094,-122.475004, , 
3358,1,19TH AVE & HOLLOWAY AVE  , ,37.721074,-122.475233, , 
3359,1,19TH AVE & IRVING ST  , ,37.76368,-122.47731, , 
3360,1,19TH AVE & IRVING ST  , ,37.76343,-122.47704, , 
3361,1,19TH AVE & JUNIPERO SERRA BLVD , ,37.716889,-122.472275, , 
3362,1,19TH AVE & JUNIPERO SERRA BLVD , ,37.71805,-122.47318, , 
3363,1,19TH AVE & JUNIPERO SERRA BLVD , ,37.717323,-122.47297, , 
3364,1,19TH AVE & JUDAH ST  , ,37.76158,-122.47687, , 
3365,1,19TH AVE & JUDAH ST  , ,37.7614,-122.47711, , 
3366,1,19TH AVE & KIRKHAM ST  , ,37.76015,-122.47671, , 
3367,1,19TH AVE & KIRKHAM ST  , ,37.75995,-122.47695, , 
3368,1,19TH AVE & LAWTON ST  , ,37.75786,-122.47654, , 
3369,1,19TH AVE & LAWTON ST  , ,37.757889,-122.476782, , 
3371,1,19TH AVE & LINCOLN WAY  , ,37.765375,-122.477404, , 
3372,1,19TH AVE & MORAGA ST  , ,37.75622,-122.47669, , 
3373,1,19TH AVE & MORAGA ST  , ,37.75599,-122.47642, , 
3374,1,19TH AVE & NORIEGA ST  , ,37.75412,-122.47629, , 
3375,1,19TH AVE & NORIEGA ST  , ,37.75392,-122.47653, , 
3376,1,19TH AVE & RANDOLPH ST  , ,37.7162,-122.47167, , 
3377,1,19TH AVE & OCEAN AVE  , ,37.73279,-122.4751, , 
3378,1,19TH AVE & OCEAN AVE  , ,37.73212,-122.4748, , 
3379,1,19TH AVE & ORTEGA ST  , ,37.75272,-122.47619, , 
3380,1,19TH AVE & ORTEGA ST  , ,37.75206,-122.4764, , 
3381,1,19TH AVE & PACHECO ST  , ,37.7504,-122.47603, , 
3382,1,19TH AVE & PACHECO ST  , ,37.7502,-122.47627, , 
3383,1,19TH AVE & QUINTARA ST  , ,37.74853,-122.4759, , 
3384,1,19TH AVE & QUINTARA ST  , ,37.7483,-122.47614, , 
3385,1,19TH AVE & RANDOLPH ST   , ,37.714282,-122.469618, , 
3387,1,19TH AVE & RANDOLPH ST   , ,37.714443,-122.469998, , 
3388,1,19TH AVE & RIVERA ST  , ,37.74667,-122.47577, , 
3389,1,19TH AVE & RIVERA ST  , ,37.74647,-122.47601, , 
3390,1,19TH AVE & SLOAT BLVD  , ,37.734556,-122.475203, , 
3391,1,19TH AVE & SLOAT BLVD  , ,37.734717,-122.474974, , 
3392,1,19TH AVE & SANTIAGO ST  , ,37.74524,-122.47567, , 
3393,1,19TH AVE & SANTIAGO ST  , ,37.74507,-122.4759, , 
3394,1,19TH AVE & TARAVAL ST  , ,37.74331,-122.47554, , 
3395,1,19TH AVE & TARAVAL ST  , ,37.74318,-122.47578, , 
3396,1,19TH AVE & ULLOA ST  , ,37.74149,-122.47543, , 
3397,1,19TH AVE & ULLOA ST  , ,37.74129,-122.47568, , 
3398,1,19TH AVE & VICENTE ST  , ,37.7392,-122.47528, , 
3399,1,19TH AVE & VICENTE ST  , ,37.73901,-122.47553, , 
3400,1,19TH AVE & WAWONA ST  , ,37.73757,-122.47542, , 
3401,1,19TH AVE & WAWONA ST  , ,37.73734,-122.47515, , 
3402,1,19TH AVE & WINSTON DR  , ,37.72719,-122.47468, , 
3403,1,19TH AVE & WINSTON DR  , ,37.727017,-122.474937, , 
3404,1,20TH AVE & BUCKINGHAM WAY  , ,37.73042,-122.47588, , 
3405,1,20TH AVE & BUCKINGHAM WAY  , ,37.729997,-122.476049, , 
3406,1,20TH AV/MACY'S STONESTOWN, ,37.72887,-122.47568, , 
3408,1,20TH AVE & WINSTON DR  , ,37.726874,-122.475945, , 
3409,1,20TH AVE & WINSTON DR  , ,37.72634,-122.47613, , 
3410,1,20TH ST & 3RD ST  , ,37.760536,-122.388707, , 
3411,1,20TH ST & 3RD ST  , ,37.760465,-122.388409, , 
3412,1,20TH ST & ARKANSAS ST  , ,37.75996,-122.39808, , 
3413,1,20TH ST & ARKANSAS ST  , ,37.75987,-122.39836, , 
3414,1,20TH ST & COLLINGWOOD ST  , ,37.757677,-122.435966, , 
3415,1,20TH ST & EUREKA ST  , ,37.757561,-122.437845, , 
3424,1,21ST ST & DOUGLASS ST  , ,37.75536,-122.43901, , 
3425,1,22ND AVE & IRVING ST  , ,37.763679,-122.480268, , 
3426,1,22ND AVE & JUDAH ST  , ,37.761457,-122.480106, , 
3427,1,22ND AVE & KIRKHAM ST  , ,37.759592,-122.47998, , 
3428,1,22ND AVE & LAWTON ST  , ,37.757754,-122.479853, , 
3429,1,22ND AVE & LINCOLN WAY  , ,37.765186,-122.480372, , 
3430,1,22ND AVE & MORAGA ST  , ,37.755898,-122.479714, , 
3431,1,22ND AVE & NORIEGA ST  , ,37.754337,-122.479611, , 
3432,1,22ND ST & 3RD ST  , ,37.75801,-122.38809, , 
3435,1,22ND ST & IOWA ST  , ,37.757771,-122.3918, , 
3436,1,22ND ST & MINNESOTA ST  , ,37.75787,-122.39008, , 
3437,1,22ND ST & MINNESOTA ST  , ,37.75779,-122.39, , 
3439,1,22ND ST & PENNSYLVANIA AVE  , ,37.757585,-122.393052, , 
3441,1,23RD AVE & IRVING ST  , ,37.763134,-122.481482, , 
3442,1,23RD AVE & JUDAH ST  , ,37.761608,-122.481378, , 
3443,1,23RD AVE & KIRKHAM ST  , ,37.759735,-122.48124, , 
3444,1,23RD AVE & LAWTON ST  , ,37.75787,-122.481113, , 
3445,1,23RD AVE & LINCOLN WAY  , ,37.765026,-122.481609, , 
3446,1,23RD AVE & MORAGA ST  , ,37.756014,-122.480986, , 
3447,1,23RD AVE & NORIEGA ST  , ,37.75414,-122.48086, , 
3448,1,23RD ST & DIAMOND ST  , ,37.752698,-122.436539, , 
3449,1,23RD ST & EUREKA ST  , ,37.75277,-122.437387, , 
3450,1,23RD ST & KANSAS ST, ,37.754448,-122.402668, , 
3452,1,23RD ST & RHODE ISLAND ST  , ,37.75451,-122.401694, , 
3453,1,23RD ST & UTAH ST  , ,37.75442,-122.40494, , 
3454,1,23RD ST & UTAH ST  , ,37.754298,-122.405304, , 
3455,1,23RD ST & VERMONT ST  , ,37.75448,-122.40391, , 
3456,1,23RD ST & VERMONT ST  , ,37.754395,-122.403631, , 
3457,1,23RD ST & WISCONSIN ST  , ,37.75481,-122.39856, , 
3458,1,24TH ST & BRYANT ST  , ,37.752853,-122.409281, , 
3459,1,24TH ST & BRYANT ST  , ,37.752755,-122.408971, , 
3460,1,24TH ST & CHURCH ST  , ,37.751778,-122.427327, , 
3461,1,24TH ST & CHURCH ST  , ,37.751644,-122.427545, , 
3462,1,24TH ST & CASTRO ST  , ,37.75136,-122.434248, , 
3463,1,24TH ST & CASTRO ST  , ,37.751262,-122.433939, , 
3464,1,24TH ST & DIAMOND ST  , ,37.751226,-122.436184, , 
3465,1,24TH ST & DIAMOND ST  , ,37.751092,-122.436402, , 
3466,1,24TH ST & DOLORES ST  , ,37.751903,-122.425311, , 
3467,1,24TH ST & DOLORES ST  , ,37.751787,-122.425265, , 
3468,1,24TH ST & DOUGLASS ST  , ,37.751102,-122.438361, , 
3469,1,24TH ST & FOLSOM ST  , ,37.75256,-122.414242, , 
3470,1,24TH ST & FOLSOM ST  , ,37.752462,-122.413933, , 
3471,1,24TH ST & GUERRERO ST  , ,37.752045,-122.422767, , 
3472,1,24TH ST & GUERRERO ST  , ,37.751911,-122.422985, , 
3473,1,24TH ST & HARRISON ST  , ,37.752694,-122.412054, , 
3474,1,24TH ST & HARRISON ST  , ,37.752587,-122.411744, , 
3475,1,24TH ST & HOFFMAN AVE  , ,37.750977,-122.440504, , 
3476,1,24TH ST & MISSION ST  , ,37.752321,-122.418333, , 
3477,1,24TH ST & MISSION ST  , ,37.752178,-122.41855, , 
3478,1,24TH ST & NOE ST  , ,37.751511,-122.431773, , 
3480,1,24TH ST & POTRERO AVE  , ,37.75299,-122.40669, , 
3481,1,24TH ST & SANCHEZ ST  , ,37.751645,-122.42955, , 
