trip_id,stop_id
9673957-124-A-Weekday-55,315612
9673957-124-A-Weekday-55,315604
9673957-124-A-Weekday-55,315606
9673957-124-A-Weekday-55,315467
9673957-124-A-Weekday-55,315608
9673958-124-A-Weekday-55,311106
9673958-124-A-Weekday-55,312008
9673958-124-A-Weekday-55,313604
9673958-124-A-Weekday-55,313001
9673958-124-A-Weekday-55,314900
9673958-124-A-Weekday-55,314006
9673958-124-A-Weekday-55,314011
9673958-124-A-Weekday-55,315040
9673958-124-A-Weekday-55,315614
9673958-124-A-Weekday-55,315612
9673958-124-A-Weekday-55,315604
9673958-124-A-Weekday-55,315606
9673958-124-A-Weekday-55,315608
9673959-124-A-Weekday-55,311106
9673959-124-A-Weekday-55,312008
9673959-124-A-Weekday-55,313604
9673959-124-A-Weekday-55,313001
9673959-124-A-Weekday-55,314900
9673959-124-A-Weekday-55,314006
9673959-124-A-Weekday-55,314011
9673959-124-A-Weekday-55,315040
9673959-124-A-Weekday-55,315614
9673959-124-A-Weekday-55,315612
9673959-124-A-Weekday-55,315604
9673959-124-A-Weekday-55,315606
9673959-124-A-Weekday-55,315467
9673959-124-A-Weekday-55,315608
9673960-124-A-Weekday-55,311106
9673960-124-A-Weekday-55,312008
9673960-124-A-Weekday-55,313604
9673960-124-A-Weekday-55,313001
9673960-124-A-Weekday-55,314900
9673960-124-A-Weekday-55,314006
9673960-124-A-Weekday-55,314011
9673960-124-A-Weekday-55,315040
9673960-124-A-Weekday-55,315614
9673960-124-A-Weekday-55,315612
9673960-124-A-Weekday-55,315604
9673960-124-A-Weekday-55,315606
9673960-124-A-Weekday-55,315608
9673961-124-A-Weekday-55,311106
9673961-124-A-Weekday-55,311030
9673961-124-A-Weekday-55,311038
9673961-124-A-Weekday-55,311035
9673961-124-A-Weekday-55,311029
9673961-124-A-Weekday-55,311191
9673961-124-A-Weekday-55,311302
9673961-124-A-Weekday-55,311142
9673961-124-A-Weekday-55,311613
9673961-124-A-Weekday-55,311617
9673961-124-A-Weekday-55,311106
9673962-124-A-Weekday-55,311106
9673962-124-A-Weekday-55,311030
9673962-124-A-Weekday-55,311038
9673962-124-A-Weekday-55,311035
9673962-124-A-Weekday-55,311029
9673962-124-A-Weekday-55,311191
9673962-124-A-Weekday-55,311302
9673962-124-A-Weekday-55,311142
9673962-124-A-Weekday-55,311613
9673962-124-A-Weekday-55,311617
9673962-124-A-Weekday-55,311106
9673963-124-A-Weekday-55,311106
9673963-124-A-Weekday-55,311030
9673963-124-A-Weekday-55,311038
9673963-124-A-Weekday-55,311035
9673963-124-A-Weekday-55,311029
9673963-124-A-Weekday-55,311191
9673963-124-A-Weekday-55,311302
9673963-124-A-Weekday-55,311142
9673963-124-A-Weekday-55,311613
9673963-124-A-Weekday-55,311617
9673963-124-A-Weekday-55,311106
9673964-124-A-Weekday-55,311106
9673964-124-A-Weekday-55,311030
9673964-124-A-Weekday-55,311038
9673964-124-A-Weekday-55,311035
9673964-124-A-Weekday-55,311029
9673964-124-A-Weekday-55,311191
9673964-124-A-Weekday-55,311302
9673964-124-A-Weekday-55,311142
9673964-124-A-Weekday-55,311613
9673964-124-A-Weekday-55,311617
9673964-124-A-Weekday-55,311106
9673965-124-A-Weekday-55,311106
9673965-124-A-Weekday-55,311030
9673965-124-A-Weekday-55,311038
9673965-124-A-Weekday-55,311035
9673965-124-A-Weekday-55,311029
9673965-124-A-Weekday-55,311191
9673965-124-A-Weekday-55,311302
9673965-124-A-Weekday-55,311142
9673965-124-A-Weekday-55,311613
9673965-124-A-Weekday-55,311617
9673965-124-A-Weekday-55,311106
9673966-124-A-Weekday-55,311106
9673966-124-A-Weekday-55,311030
9673966-124-A-Weekday-55,311038
9673966-124-A-Weekday-55,311035
9673966-124-A-Weekday-55,311029
9673966-124-A-Weekday-55,311191
9673966-124-A-Weekday-55,311302
9673966-124-A-Weekday-55,311142
9673966-124-A-Weekday-55,311613
9673966-124-A-Weekday-55,311617
9673966-124-A-Weekday-55,311106
9673967-124-A-Weekday-55,311106
9673967-124-A-Weekday-55,311030
9673967-124-A-Weekday-55,311038
9673967-124-A-Weekday-55,311035
9673967-124-A-Weekday-55,311029
9673967-124-A-Weekday-55,311191
9673967-124-A-Weekday-55,311302
9673967-124-A-Weekday-55,311142
9673967-124-A-Weekday-55,311613
9673967-124-A-Weekday-55,311617
9673967-124-A-Weekday-55,311106
9673968-124-A-Weekday-55,311106
9673968-124-A-Weekday-55,311030
9673968-124-A-Weekday-55,311038
9673968-124-A-Weekday-55,311035
9673968-124-A-Weekday-55,311029
9673968-124-A-Weekday-55,311191
9673968-124-A-Weekday-55,311302
9673968-124-A-Weekday-55,311142
9673968-124-A-Weekday-55,311613
9673968-124-A-Weekday-55,311617
9673968-124-A-Weekday-55,311106
9673969-124-A-Weekday-55,311106
9673969-124-A-Weekday-55,311030
9673969-124-A-Weekday-55,311038
9673969-124-A-Weekday-55,311035
9673969-124-A-Weekday-55,311029
9673969-124-A-Weekday-55,311191
9673969-124-A-Weekday-55,311302
9673969-124-A-Weekday-55,311142
9673969-124-A-Weekday-55,311613
9673969-124-A-Weekday-55,311617
9673969-124-A-Weekday-55,311106
9673970-124-A-Weekday-55,311106
9673970-124-A-Weekday-55,311030
9673970-124-A-Weekday-55,311038
9673970-124-A-Weekday-55,311035
9673970-124-A-Weekday-55,311029
9673970-124-A-Weekday-55,311191
9673970-124-A-Weekday-55,311302
9673970-124-A-Weekday-55,311142
9673970-124-A-Weekday-55,311613
9673970-124-A-Weekday-55,311617
9673970-124-A-Weekday-55,311106
9673971-124-A-Weekday-55,311106
9673971-124-A-Weekday-55,311030
9673971-124-A-Weekday-55,311038
9673971-124-A-Weekday-55,311035
9673971-124-A-Weekday-55,311029
9673971-124-A-Weekday-55,311191
9673971-124-A-Weekday-55,311302
9673971-124-A-Weekday-55,311142
9673971-124-A-Weekday-55,311613
9673971-124-A-Weekday-55,311617
9673971-124-A-Weekday-55,311106
9673972-124-A-Weekday-55,311106
9673972-124-A-Weekday-55,311030
9673972-124-A-Weekday-55,311038
9673972-124-A-Weekday-55,311035
9673972-124-A-Weekday-55,311029
9673972-124-A-Weekday-55,311191
9673972-124-A-Weekday-55,311302
