stop_id,accessibility_id,cardinal_direction,relative_position,stop_city
334145,2,NW,FS,South San Francisco
334146,2,SE,FS,South San Francisco
334151,2,NE,NS,South San Francisco
334152,2,NW,FS,South San Francisco
334153,2,SW,NS,Daly City
334154,2,SE,FS,South San Francisco
334155,2,NE,NS,South San Francisco
334158,2,NE,FS,South San Francisco
334159,2,SW,NS,South San Francisco
334174,2,SE,FS,South San Francisco
334175,2,SW,NS,South San Francisco
334177,2,NW,FS,Daly City
334178,2,SW,NS,Daly City
334179,2,SE,FS,South San Francisco
334180,2,SE,NS,South San Francisco
334181,2,NE,FS,South San Francisco
334182,2,SW,FS,South San Francisco
334183,2,NE,FS,South San Francisco
334184,2,NW,NS,South San Francisco
334185,2,NW,NS,South San Francisco
334186,2,NE,FS,South San Francisco
334200,2,NE,FS,South San Francisco
334201,2,SW,FS,South San Francisco
334202,2,SE,NS,South San Francisco
334207,2,NE,NS,South San Francisco
334208,2,SE,NS,South San Francisco
334210,2,SW,FS,South San Francisco
334211,2,NW,NS,South San Francisco
334212,2,SE,NS,South San Francisco
334214,2,NE,NS,South San Francisco
334216,2,SE,NS,South San Francisco
334217,2,SW,FS,South San Francisco
334218,2,NW,FS,South San Francisco
334219,2,SE,FS,South San Francisco
334220,2,SE,FS,South San Francisco
334221,2,NE,NS,South San Francisco
334222,2,NE,NS,South San Francisco
334223,2,SW,NS,South San Francisco
334224,2,NE,NS,South San Francisco
334225,2,SE,NS,South San Francisco
334226,2,NE,NS,South San Francisco
334228,2,SW,NS,South San Francisco
334232,2,SE,NS,South San Francisco
334233,2,SO,OP,South San Francisco
334234,2,SE,FS,South San Francisco
334235,2,NE,NS,South San Francisco
334236,2,NE,NS,South San Francisco
334237,2,SW,NS,South San Francisco
334238,2,SO,OP,South San Francisco
334239,2,NW,FS,South San Francisco
334241,2,NW,FS,South San Francisco
334242,2,SW,FS,South San Francisco
334244,2,NE,FS,South San Francisco
334245,2,SO,OP,South San Francisco
334246,2,NE,FS,South San Francisco
334247,2,NW,NS,South San Francisco
334248,2,SE,NS,South San Francisco
334250,2,NW,NS,South San Francisco
334253,2,NW,NS,South San Francisco
334256,2,NW,NS,South San Francisco
334400,2,SE,NS,South San Francisco
334401,2,SW,FS,South San Francisco
334410,2,WE,AT,South San Francisco
334500,2,WE,AT,South San Francisco
334524,2,NW,NS,South San Francisco
334527,2,WE,AT,South San Francisco
334533,2,NE,AT,South San Francisco
334534,2,NW,NS,South San Francisco
334535,2,SE,FS,South San Francisco
334537,2,SE,NS,South San Francisco
334601,2,SW,NS,South San Francisco
334602,2,NE,NS,South San Francisco
334605,2,NE,FS,South San Francisco
334606,2,NW,NS,South San Francisco
334611,2,NE,FS,South San Francisco
334612,2,NW,NS,South San Francisco
334613,2,SW,FS,South San Francisco
334617,2,WE,AT,South San Francisco
334618,2,WE,AT,South San Francisco
334620,2,WE,AT,South San Francisco
334621,2,WE,,South San Francisco
334625,2,NW,NS,South San Francisco
334626,2,SE,NS,South San Francisco
334627,2,NE,FS,South San Francisco
