route_id,service_id,trip_headsign,trip_id,direction_id,block_id,shape_id
30,4_merged_422181222,BART Walnut Creek,42211196,1,,38372
3,3_merged_422181207,BART Concord,30003018,0,,
23,5_merged_422181221,BART Concord,42173825,1,,38356
39,1_merged_422181206,San Ramon Transit Center,390001058,0,,
39,1_merged_422181206,San Ramon Transit Center,390001055,0,,
3,3_merged_422181207,BART Concord,30003012,0,,
6,1_merged_422181218,BART Concord via Downtown Pleasant Hill,42115210,1,,38319
6,2_merged_422181220,BART Concord via Downtown Pleasant Hill,42115211,1,,38319
32,3_merged_422181219,BART Lafayette via Saint Mary's College,4222386,0,,38375
3,3_merged_422181207,BART Concord,30003015,0,,
39,1_merged_422181206,San Ramon Transit Center,390001052,0,,
30,3_merged_422181207,Broadway Plaza,300003162,0,,
18,3_merged_422181219,BART North Concord via VA Clinic/Diablo Valley College,42149312,0,,38343
18,1_merged_422181218,BART North Concord via VA Clinic/Diablo Valley College,42149310,0,,38343
30,3_merged_422181207,Broadway Plaza,300003167,0,,
38,3_merged_422181207,BART Walnut Creek via Danville Park and Ride,381003009,1,,
38,3_merged_422181207,BART Walnut Creek via Danville Park and Ride,381003006,1,,
38,3_merged_422181207,BART Walnut Creek via Danville Park and Ride,381003003,1,,
25,5_merged_422181221,Martinez via Downtown Pleasant Hill,4217918,0,,38359
12,3_merged_422181207,BART Concord,120003075,0,,
12,3_merged_422181207,BART Concord,120003072,0,,
37,2_merged_422181208,Hillcrest Park and Ride,371002011,1,,
37,3_merged_422181219,Hillcrest Park and Ride,42248321,1,,38425
37,2_merged_422181220,Hillcrest Park and Ride,42248320,1,,38425
12,3_merged_422181207,BART Concord,120003078,0,,
19,2_merged_422181220,Martinez Shuttle,42152741,0,,38347
19,1_merged_422181218,Martinez Shuttle,42152740,0,,38347
19,3_merged_422181219,Martinez Shuttle,42152742,0,,38347
13,1_merged_422181206,BART Walnut Creek,131001055,1,,
13,1_merged_422181206,BART Walnut Creek,131001052,1,,
29,2_merged_422181220,BART Dublin via San Ramon Valley Blvd,42195226,0,,38369
13,1_merged_422181206,BART Walnut Creek,131001058,1,,
6,1_merged_422181218,BART Concord via Downtown Pleasant Hill,4211517,1,,38319
30,4_merged_422181210,BART Walnut Creek,301004033,1,,
30,4_merged_422181210,BART Walnut Creek,301004037,1,,
22,4_merged_422181210,BART Concord via BART Pleasant Hill,220004009,0,,
22,4_merged_422181210,BART Concord via BART Pleasant Hill,220004008,0,,
22,4_merged_422181210,BART Concord via BART Pleasant Hill,220004001,0,,
41,2_merged_422181208,BART Walnut Creek,410002008,0,,
24,5_merged_422181221,Clayton/Treat,42177010,1,,38358
