"fare_id","origin_id","destination_id"
"27","97","94"
"18","97","95"
"32","97","96"
"21","97","98"
"18","97","99"
"15","97","100"
"20","97","101"
"59","97","102"
"55","97","103"
"23","97","104"
"18","97","105"
"45","97","106"
"35","97","107"
"8","97","108"
"35","97","109"
"8","97","110"
"40","97","111"
"8","97","112"
"57","97","113"
"55","97","114"
"33","97","115"
"20","97","116"
"37","97","117"
"27","97","118"
"34","97","119"
"24","97","120"
"20","97","121"
"31","97","122"
"26","97","123"
"23","97","124"
"9","97","125"
"38","97","126"
"39","97","127"
"27","97","128"
"31","97","129"
"13","97","130"
"18","97","131"
"24","97","132"
"30","97","133"
"50","97","134"
"1","97","135"
"27","97","142"
"27","97","143"
"32","97","128"
"33","97","145"
"23","98","81"
"24","98","82"
"15","98","83"
"18","98","84"
"8","98","85"
"1","98","86"
"8","98","87"
"32","98","88"
"19","98","89"
"24","98","90"
"8","98","91"
"18","98","92"
"23","98","93"
"31","98","94"
"13","98","95"
"35","98","96"
"21","98","97"
"21","98","99"
"30","98","100"
"35","98","101"
"27","98","102"
"38","98","103"
"25","98","104"
"8","98","105"
"28","98","106"
"10","98","107"
"34","98","108"
"17","98","109"
"14","98","110"
"55","98","111"
"24","98","112"
"38","98","113"
"24","98","114"
"35","98","115"
"23","98","116"
"11","98","117"
"30","98","118"
"36","98","119"
"39","98","120"
"37","98","121"
"38","98","122"
"41","98","123"
"38","98","124"
"24","98","125"
"12","98","126"
"22","98","127"
"3","98","128"
"6","98","129"
"28","98","130"
"1","98","131"
"26","98","132"
"13","98","133"
"20","98","134"
"31","98","135"
"41","98","142"
"44","98","143"
"49","98","128"
"50","98","145"
"18","99","81"
"20","99","82"
"18","99","83"
"18","99","84"
"25","99","85"
"24","99","86"
"18","99","87"
"49","99","88"
"36","99","89"
"21","99","90"
"18","99","91"
"18","99","92"
"1","99","93"
"8","99","94"
"18","99","95"
"32","99","96"
"18","99","97"
"21","99","98"
"27","99","100"
"32","99","101"
"51","99","102"
"55","99","103"
"23","99","104"
"1","99","105"
"45","99","106"
"35","99","107"
"30","99","108"
"34","99","109"
"18","99","110"
"44","99","111"
"18","99","112"
"55","99","113"
"47","99","114"
"17","99","115"
"20","99","116"
"37","99","117"
"27","99","118"
"34","99","119"
"21","99","120"
"34","99","121"
"37","99","122"
"31","99","123"
"27","99","124"
"21","99","125"
"38","99","126"
"39","99","127"
"27","99","128"
"31","99","129"
"24","99","130"
"8","99","131"
"24","99","132"
"30","99","133"
"41","99","134"
"28","99","135"
"24","99","142"
"27","99","143"
"32","99","128"
"34","99","145"
"11","100","81"
"13","100","82"
"27","100","83"
"15","100","84"
"35","100","85"
"33","100","86"
"27","100","87"
"58","100","88"
"45","100","89"
"27","100","90"
"23","100","91"
"27","100","92"
"27","100","93"
"27","100","94"
"28","100","95"
"32","100","96"
"15","100","97"
"30","100","98"
"27","100","99"
"1","100","101"
"69","100","102"
"63","100","103"
"27","100","104"
"27","100","105"
"57","100","106"
"45","100","107"
"18","100","108"
"43","100","109"
"19","100","110"
"28","100","111"
"10","100","112"
"67","100","113"
"65","100","114"
"33","100","115"
"27","100","116"
"47","100","117"
"28","100","118"
"34","100","119"
"26","100","120"
"21","100","121"
"33","100","122"
"14","100","123"
"8","100","124"
"8","100","125"
"49","100","126"
"48","100","127"
"36","100","128"
"41","100","129"
"1","100","130"
"27","100","131"
"28","100","132"
"39","100","133"
"59","100","134"
"17","100","135"
"28","100","142"
"29","100","143"
"33","100","128"
"35","100","145"
"16","101","81"
"18","101","82"
"33","101","83"
"21","101","84"
"40","101","85"
"38","101","86"
"32","101","87"
"65","101","88"
"50","101","89"
"32","101","90"
"27","101","91"
"32","101","92"
"32","101","93"
"32","101","94"
"33","101","95"
"36","101","96"
"20","101","97"
"35","101","98"
"32","101","99"
"1","101","100"
"74","101","102"
"68","101","103"
"32","101","104"
"32","101","105"
"60","101","106"
"50","101","107"
"24","101","108"
"48","101","109"
"24","101","110"
"23","101","111"
"15","101","112"
"72","101","113"
"70","101","114"
"33","101","115"
"32","101","116"
"52","101","117"
"33","101","118"
"38","101","119"
"31","101","120"
"27","101","121"
"38","101","122"
"8","101","123"
"1","101","124"
"14","101","125"
"53","101","126"
"53","101","127"
"41","101","128"
"45","101","129"
"8","101","130"
"32","101","131"
"32","101","132"
"44","101","133"
"64","101","134"
"21","101","135"
"34","101","142"
"34","101","143"
"39","101","128"
"40","101","145"
"62","102","81"
"62","102","82"
"45","102","83"
"57","102","84"
"38","102","85"
"25","102","86"
"46","102","87"
"51","102","88"
"38","102","89"
"51","102","90"
"50","102","91"
"46","102","92"
"53","102","93"
"49","102","94"
"45","102","95"
"45","102","96"
"59","102","97"
"27","102","98"
"51","102","99"
"69","102","100"
"74","102","101"
"55","102","103"
"53","102","104"
"50","102","105"
"45","102","106"
"17","102","107"
"54","102","108"
"38","102","109"
"53","102","110"
"89","102","111"
"64","102","112"
"62","102","113"
"1","102","114"
"53","102","115"
"50","102","116"
"16","102","117"
"47","102","118"
"45","102","119"
"51","102","120"
"58","102","121"
"45","102","122"
"85","102","123"
"76","102","124"
"63","102","125"
"17","102","126"
"40","102","127"
"23","102","128"
"20","102","129"
"67","102","130"
"30","102","131"
"51","102","132"
"38","102","133"
"5","102","134"
"57","102","135"
"54","102","142"
"57","102","143"
"62","102","128"
"64","102","145"
