place_id,place_name,reference_place,place_lat,place_long
garflo,Garden Rd & Floral Ave,,32.956237640093,-117.013257023026
garlam,Garnet Ave & Lamont St,,32.800962558371,-117.235680553592
gasS_N,Gaslamp,gasS,32.706798645850,-117.159597556049
gasS_S,Gaslamp,gasS,32.706824291628,-117.159474286392
gengov,Genesee & Governor,,32.854707701310,-117.205028426807
gengvN,Genesee & Governor,,32.855042047518,-117.204478794564
gengvS,Genesee & Governor,,32.854090180850,-117.204592212114
genljN,Genesee & La Jolla Village Dr.,,32.873216907262,-117.213831568923
genlvN,Genesee & Linda Vista,,32.791998946935,-117.166412945319
genlvS,Genesee & Linda Vista,,32.791217331395,-117.165070663952
gilmye,Gilman & Myers  (UCSD),,32.877055296898,-117.235253949548
golwas,Goldfinch St. & Washington St.,,32.749843684156,-117.171376873933
grabra,Graves Ave & Bradley Ave,,32.818611940138,-116.959010838204
grabro,Graves Ave &  Broadway,,32.807711406803,-116.959980801616
graing,Grand Ave & Ingraham St.,,32.797896918213,-117.239793176016
gramis,Grand Ave & Mission Bay Dr.,,32.802138622772,-117.216109475568
gratro,Grantville Trolley Station,,32.780314706044,-117.097207528876
grcoll,Grossmont College,,32.815069728972,-117.005266358602
groS_N,Grossmont,groS,32.781751846857,-117.011204847260
groS_S,Grossmont,groS,32.781702798097,-117.011136097144
grotro,Grossmont Transit Center,,32.781933758901,-117.011121824876
grove,College Grove,,32.741395046492,-117.056743999114
h3rd,"H" St & 3rd Ave,,32.634261679931,-117.077675748894
h3rd1,"H" St & 3rd Ave,,32.634499694849,-117.076734699957
h4th,"H" St & 4th Ave,,32.632532850384,-117.081028829809
h4th1,"H" St & 4th Ave,,32.634572026950,-117.081791880486
harhis,North Harbor Dr & Harbor Island Dr,,32.729399509595,-117.195836045019
harS_N,Harborside,harS,32.691486155775,-117.133206138945
harS_S,Harborside,harS,32.691117272850,-117.132519877285
hazS_N,Hazard Center,hazS,32.770081461229,-117.158715493682
hazS_S,Hazard Center,hazS,32.770363330553,-117.157761946904
hig8th,Highland Ave & 8th St,,32.678350157333,-117.099023383120
high18,Highland Ave & 18th,,32.669837339225,-117.095489783313
high30,Highland Ave & 30th St,,32.658819711106,-117.091193456642
hiljst,Hilltop Dr & "J" St,,32.630840053910,-117.062234111275
hilor1,Hilltop Dr. & Orange Ave.,,32.601199377972,-117.051486224029
hilora,Hilltop Dr. & Orange Ave.,,32.599654360550,-117.051501415734
hilpa1,Hilltop Dr & Palomar St,,32.610578379093,-117.054338781551
hilpal,Hilltop Dr & Palomar St,,32.610378895095,-117.053572218887
hotdel,Orange Av & Dana/Adella (Hotel D Coron),,32.682366043022,-117.178180581077
hsteas,E H St & Eastlake Dr,,32.655083785449,-116.980572183569
hsthil,"H" St & Hilltop Dr,,32.637613406369,-117.065689351071
hstmig,E H St & Mt Miguel Rd,,32.661878902125,-116.971179145302
hstpa1,E H St. & Paseo del Rey,,32.635969785592,-117.028342195137
hstpas,E H St. & Paseo del Rey,,32.636139501616,-117.029929170517
hstS_N,H St.,hstS,32.630052497015,-117.095469055660
hstS_S,H St.,hstS,32.630021552415,-117.095572696903
htro,H Street Transit Center,,32.629687786784,-117.094785745246
i15elc,El Cajon Blvd & I-15,,32.755168092233,-117.108818448614
i15eln,El Cajon Blvd & I-15,,32.755042655361,-117.108280535639
i15els,El Cajon Blvd & I-15,,32.755335068655,-117.109311230818
i15uni,University & I-15,,32.749679202706,-117.108836500778
i15unn,University & I-15,,32.749551379582,-117.108246558598
i15uns,University & I-15,,32.749843181553,-117.109365000322
i15unw,University & I-15,i15uni,32.749759999413,-117.109074718887
IADGAR,Imperial Avenue Division,,32.707318748251,-117.150523105132
imp12,12th & Imperial Transit Center,,32.705964459279,-117.153054700222
imp16,Imperial & 16th,,32.706274871063,-117.150070321579
imp32,Imperial & 32nd,,32.706435341904,-117.125488789331
imp47,Imperial & 47th,,32.704130518552,-117.092974256128
imp4t1,Imperial Beach Blvd & 4th St.,,32.576597058258,-117.123641539213
imp4th,Imperial Beach Blvd & 4th St.,,32.576612466981,-117.124607081245
imp62,Imperial & 62nd,,32.709804294369,-117.064208478591
imp9th,9th St & Imperial Beach Blvd,,32.576562093620,-117.115828167143
imtS,Imperial Terminal,,32.705240111219,-117.153783270469
inggra,Ingraham & Grand,,32.797876566179,-117.240274581661
intuni,Alliant International University,,32.895475905143,-117.095756028749
iriS_N,Iris Ave,iriS,32.569662665273,-117.066986329244
iriS_S,Iris Ave,iriS,32.569593656144,-117.067031132210
iritro,Iris Avenue Transit Center,,32.569852553386,-117.066079252643
jacumb,Jacumba,,32.618069615729,-116.184480420345
jamdbl,Jamacha Bl & Doubletree/Calavo Dr,,32.730479227042,-116.960460933070
jamul,Jamul,,32.717091245384,-116.876625217682
julian,Julian,,33.078581009545,-116.602410575956
kaihos,Kaiser Hospital,,32.792757814559,-117.094065692928
KMDGAR,Kearny Mesa Division,,32.824480008181,-117.159475590836
kmtc,Kearny Mesa Transit Center,,32.831388550279,-117.135055848687
lagbrt,Del Lago Transit Station,,33.072193764026,-117.070683887199
lakbal,Baltimore Dr & Lake Murray Bl.,,32.781317292410,-117.031829674697
lakeas,Lakeshore Dr & Eastlake Dr,,32.654861758925,-116.978846130441
lakhen,Lake Henshaw,,33.199744507515,-116.710277265509
lakjac,Lake Murray Blvd & Jackson Dr.,,32.793487115425,-117.018426178280
lakmor,Lake Morena,,32.680109360051,-116.512033314319
lamS_N,La Mesa,lamS,32.765037948332,-117.020562479014
lamS_S,La Mesa,lamS,32.765087926160,-117.020481590742
lamtre,La Mesa Blvd Station Eastbound,,32.765994114561,-117.021491456288
lamtrw,La Mesa Blvd Station Westbound,,32.766116346987,-117.022162656258
lexjam,Lexington Ave & Jamacha Rd,,32.792182230373,-116.933244378074
livoak,Live Oak Springs,,32.687338980201,-116.335716015042
ljgenE,La Jolla Village Dr & Genesee,,32.872555020743,-117.213413931091
ljgenW,La Jolla Village Dr & Genesee,,32.872645396322,-117.214512544615
luspac,Lusk Blvd & Pacific Center Blvd,,32.901701928334,-117.201508730257
lusvis,Lusk Blvd / Vista Sorrento Pkwy,,32.899854073276,-117.216143450720
macymv,Macy's Mission Valley,,32.769981121822,-117.149752781319
mad2nd,Madison & 2nd Ave,,32.800224205845,-116.937215186476
madba1,Madison Ave & Ballantyne St,,32.800909051758,-116.957565592723
madbal,Madison Ave & Ballantyne St,,32.800871499639,-116.958697796270
magwoo,Magnolia Ave & Woodglen Vista,,32.865661744377,-116.971068231970
mai3rd,Main St. & 3rd Av.,,32.594740272152,-117.065582418842
mapash,Mapleview St & Ashwood St,,32.863524550867,-116.918020573316
mapvin,Mapleview St & Vine St.,,32.863000073914,-116.921581934151
mark30,Market & 30th,,32.711643050469,-117.130222056898
marpar,Park & Market Trolley Station,,32.711537065341,-117.153992832921
marS_N,Park & Market,marS,32.711055603050,-117.153682295887
marS_S,Park & Market,marS,32.711049510900,-117.153763509844
masmtv,Massachusetts Ave & Mt Vernon Ave,,32.731003003896,-117.043009333272
masS_N,Massachusetts Ave,masS,32.723541934121,-117.039585038180
masS_S,Massachusetts Ave,masS,32.723501187832,-117.039509888939
melmai,Melrose Ave & Main St,,32.595301274647,-117.040194634269
mescol,Mesa College,,32.804031098238,-117.163785519952
mespro,Mesa Rd & Prospect Ave,,32.831677106586,-117.016429938554
midpow,Midland Rd & Poway Rd,,32.957558721365,-117.036653488028
midS_N,Palm/Middletown,midS,32.733463009810,-117.174616837110
midS_S,Palm/Middletown,midS,32.733399555127,-117.174648690195
milgal,Milton St & Galveston St,,32.784199548098,-117.201527767741
mirca1,Mira Mesa Blvd & Camino Santa Fe,,32.907454122800,-117.171902930197
mircam,Mira Mesa Blvd & Camino Santa Fe,,32.907676550494,-117.170639400714
mircr1,Mira Mesa Bl & Camino Ruiz,,32.912663368741,-117.145699153718
mircru,Mira Mesa Bl & Camino Ruiz,,32.912730090456,-117.143049361707
mirmal,Miramar Rd & Miramar Mall,,32.876989583680,-117.183177039700
mirpac,Mira Mesa & Pacific Heights Blvd.,,32.900355426447,-117.188930413615
mirsc1,Mira Mesa Blvd & Scranton Rd,,32.892671355831,-117.202082801358
mirscr,Mira Mesa Blvd & Scranton Rd,,32.892668258942,-117.200950037009
mirsta,Miramar College Transit Station,,32.912385339384,-117.119819647149
mischl,Mission Gorge Rd & Carlton Hills Blvd,,32.838598401884,-116.994584346848
misfel,Mission Blvd & Felspar St.,,32.797281679280,-117.255722405393
mismag,Mission Gorge Rd & Magnolia Ave,,32.838371826361,-116.968712502201
mismis,W. Mission Bay Dr & Mission Blvd,,32.772025703254,-117.250606091387
mispky,Mission City Pkwy & Camino del Rio N.,,32.775583627700,-117.127236707095
missap,Mission Blvd & Sapphire St.,,32.807765388391,-117.258995916296
miswhi,Mission Gorge Rd & West Hills Blvd,,32.836873554410,-117.025999650097
mivS_N,Mission Valley,mivS,32.771016320470,-117.150416286343
mivS_S,Mission Valley,mivS,32.771158032996,-117.149451512561
morS_N,Morena,morS,32.763569522708,-117.197186628479
morS_S,Morena,morS,32.763552823023,-117.196138980984
msdS_N,Mission San Diego,msdS,32.781173370088,-117.111339804485
msdS_S,Mission San Diego,msdS,32.780731864830,-117.110801893576
mursan,Murray Ridge & Sandrock Rd.,,32.803619070449,-117.139591717169
nabc,Naval Base - Coronado,,32.672060867402,-117.166300026155
nancar,Nancy Ridge Rd & Caroll Rd,,32.885667882997,-117.174972202128
naphil,Naples St & Hilltop Dr,,32.617038975622,-117.056857379979
nasni,NASNI Front Gate,,32.699097380460,-117.184219563187
nat18t,National City Blvd & 18th St,,32.667180766627,-117.103607374046
nat24s,National City Blvd & 24th St,,32.662199482149,-117.101368847715
nat32,National Ave & 32nd St,,32.695967462787,-117.125323078376
nat7th,National City Blvd & 7th St,,32.677002562087,-117.107245696055
natces,National Ave & Cesar Chavez,,32.700848367380,-117.144610013940
navjac,Navajo Rd & Jackson Dr.,,32.803651170214,-117.046077421421
nimros,Rosecrans St & Nimitz Blvd.,,32.728865371684,-117.226292842198
noblaj,Nobel & La Jolla Village Sq.,,32.867888143529,-117.231520863307
nobsho,Nobel Dr & Shoreline Dr,,32.864337044304,-117.201910075134
nradmg,Spawar Main Gate,,32.709104297965,-117.249144107663
obemir,Oberlin Dr & Mira Mesa Bl,,32.895617885829,-117.192385982791
oldpec,Old Hwy 80 & Pecan Park,,32.843693136384,-116.879747410613
oldS,Old Town,,32.754377781214,-117.199419971376
olyea1,Olympic Parkway & Eastlake Parkway,,32.630706490166,-116.965352306388
olyeas,Olympic Parkway & Eastlake Parkway,,32.628058216483,-116.965563712833
ora3rd,Orange Ave & 3rd St,,32.601816041205,-117.064489598723
