"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"4341","64341","ARASTRADERO & OLD ADOBE","","37.395598831999997","-122.14129314100001","1"
"4388","64388","ARASTRADERO & OLD ADOBE","","37.395839525","-122.140599755","1"
"4338","64338","PALO ALTO VETERANS HOSPITAL","","37.403887333","-122.14137718800001","1"
"4351","64351","HANOVER & CURVE (FS)","","37.415422452999998","-122.14333559000001","1"
"4425","64425","HANOVER & CURVE (NS)","","37.415464813","-122.143666091","1"
"4350","64350","HANOVER & CURVE (NS)","","37.413487109000002","-122.143457642","1"
"4426","64426","HANOVER & CURVE (MD)","","37.412674932999998","-122.14428698099999","1"
"4447","64447","PAGE MILL & RAMOS","","37.421051589999998","-122.143905394","1"
"4439","64439","PAGE MILL & RAMOS","","37.420829273000003","-122.14374841199999","1"
"510","60510","EL CAMINO & PORTAGE","","37.421166327000002","-122.13812184299999","1"
"337","60337","EL CAMINO & HANSEN","","37.420570323","-122.137603243","1"
"4440","64440","HANSEN & EL CAMINO","","37.419910391999998","-122.138916399","1"
"4438","64438","PAGE MILL & HANSEN","","37.419165051","-122.145132346","1"
"4442","64442","HANSEN & PAGE MILL","","37.418700340999997","-122.14516253399999","1"
"4441","64441","HANSEN & CURVE","","37.417509393000003","-122.14289843500001","1"
"4444","64444","HANSEN & PAGE MILL (MD)","","37.417395628000001","-122.14292688800001","1"
"4445","64445","HANSEN & CURVE","","37.419704156999998","-122.138942071","1"
"4443","64443","HANSEN & PAGE MILL (FS)","","37.418558691000001","-122.14510612300001","1"
"4358","64358","CALIFORNIA & BIRCH","","37.427534068999996","-122.14371416199999","1"
"4417","64417","CALIFORNIA & BIRCH","","37.427274851","-122.14415116799999","1"
"4418","64418","CALIFORNIA & ASH","","37.426677325","-122.144598587","1"
"4357","64357","CALIFORNIA & MIMOSA","","37.426115410000001","-122.144919129","1"
"4356","64356","CALIFORNIA & EL CAMINO","","37.425399028000001","-122.14545661","1"
"511","60511","EL CAMINO & PAGE MILL","","37.423430498000002","-122.142366689","1"
"4458","64458","PAGE MILL & EL CAMINO","","37.423285550000003","-122.14165630700001","1"
"4446","64446","PAGE MILL & EL CAMINO","","37.422538709999998","-122.142661606","1"
"336","60336","EL CAMINO & PAGE MILL","","37.422582505999998","-122.14147581500001","1"
"4958","64958","CALIFORNIA AVE CALTRAIN STATION","","37.429064199000003","-122.14217645700001","1"
"1553","61553","MIDDLEFIELD & EMBARCADERO","","37.442488820999998","-122.143651551","1"
"1575","61575","MIDDLEFIELD & EMBARCADERO","","37.441820825000001","-122.142781129","1"
"1552","61552","MIDDLEFIELD & SEALE","","37.439926034000003","-122.13953913100001","1"
"1576","61576","MIDDLEFIELD & SEALE","","37.439601557000003","-122.139264567","1"
"5634","65634","FOOTHILL COLLEGE LOOP @ TRANSIT CTR","","37.359631999999998","-122.126915","1"
"538","60538","FOOTHILL COLLEGE LOOP @ PLANETARIUM","","37.361408525999998","-122.130937923","1"
"4336","64336","MIRANDA & ARASTRADERO (FS)","","37.399552884999999","-122.13452696900001","1"
"4340","64340","MIRANDA & ARASTRADERO","","37.399412820000002","-122.134824567","1"
"4335","64335","ARASTRADERO & GUNN HIGH SCHOOL","","37.399732804000003","-122.13257678799999","1"
"4389","64389","ARASTRADERO & GUNN HIGH SCHOOL","","37.399813211999998","-122.131951607","1"
"4390","64390","ARASTRADERO & TERMAN","","37.403555449999999","-122.12796811299999","1"
"4334","64334","ARASTRADERO & DONALD","","37.403959503999999","-122.127915626","1"
"509","60509","EL CAMINO & MARGARITA","","37.418967680000002","-122.13389063","1"
"338","60338","EL CAMINO & MATADERO","","37.418909300000003","-122.13436082","1"
"508","60508","EL CAMINO & CURTNER","","37.417865917999997","-122.131751202","1"
"339","60339","EL CAMINO & BARRON","","37.417755509000003","-122.13216876200001","1"
"507","60507","EL CAMINO & EL CAMINO WAY","","37.416104116","-122.128442588","1"
"340","60340","EL CAMINO & LOS ROBLES","","37.416091233000003","-122.128993984","1"
"1550","61550","MIDDLEFIELD & MORENO","","37.434127519","-122.130371555","1"
"1578","61578","MIDDLEFIELD & WEBSTER","","37.434010563999998","-122.130409582","1"
"1549","61549","MIDDLEFIELD & COLORADO","","37.433201029000003","-122.128904719","1"
"1579","61579","MIDDLEFIELD & COLORADO","","37.432773937","-122.128451172","1"
"1551","61551","MIDDLEFIELD & CALIFORNIA","","37.437456161999997","-122.135666176","1"
"1577","61577","MIDDLEFIELD & CALIFORNIA","","37.437372127000003","-122.135722472","1"
"540","60540","EL MONTE & STONEBROOK","","37.359558006999997","-122.122177071","1"
"5059","65059","FOOTHILL COLLEGE","","37.362393791999999","-122.126702634","1"
"503","60503","EL CAMINO & TAMARACK","","37.407506380000001","-122.12077379999999","1"
"344","60344","EL CAMINO & TAMARACK","","37.40636748","-122.12024701999999","1"
"4391","64391","ARASTRADERO & SUZANNE","","37.407223723000001","-122.125467212","1"
"4333","64333","ARASTRADERO & COULOMBE","","37.406521886","-122.126173318","1"
"505","60505","EL CAMINO & EL CAMINO WAY","","37.412480659000003","-122.12479127500001","1"
"342","60342","EL CAMINO & MAYBELL","","37.412050520999998","-122.124843572","1"
"504","60504","EL CAMINO & CHARLESTON","","37.411161026000002","-122.123725157","1"
"343","60343","EL CAMINO & ARASTRADERO","","37.409657551000002","-122.122913708","1"
"341","60341","EL CAMINO & VISTA","","37.414120398999998","-122.1265306","1"
"506","60506","EL CAMINO & VISTA","","37.415050848999996","-122.12702849199999","1"
"4392","64392","ARASTRADERO & EL CAMINO","","37.411070350999999","-122.12246892","1"
"4332","64332","ARASTRADERO & EL CAMINO","","37.409664378000002","-122.12397957500001","1"
"4402","64402","CHARLESTON & RUTHELMA","","37.413169211000003","-122.12013521599999","1"
"4401","64401","MEADOW & WAVERLY","","37.420918069999999","-122.120435942","1"
"4400","64400","MEADOW & RAMONA","","37.418826629999998","-122.122159854","1"
"4430","64430","ALMA & MEADOW","","37.417747380000002","-122.12294430199999","1"
"4459","64459","ALMA & MEADOW","","37.417448401999998","-122.122819572","1"
"4371","64371","MEADOW & WAVERLY","","37.421132","-122.120457","1"
"4372","64372","MEADOW & WILKIE","","37.415898048000003","-122.124793975","1"
"4399","64399","MEADOW & WILKIE","","37.415759315999999","-122.124713927","1"
"5617","65617","MEADOW & RAMONA","","37.418829000000002","-122.122317","1"
"1581","61581","MIDDLEFIELD & LOMA VERDE","","37.429294998000003","-122.123063591","1"
"5618","65618","LOMA VERDE & WAVERLEY","","37.426324000000001","-122.126971","1"
"5619","65619","WAVERLEY & EL VERANO","","37.424053000000001","-122.124489","1"
"5620","65620","WAVERLEY & EL VERANO","","37.424145000000003","-122.124449","1"
"5621","65621","LOMA VERDE & WAVERLEY","","37.426307999999999","-122.126902","1"
"1548","61548","MIDDLEFIELD & MATADERO","","37.431298853999998","-122.12585572","1"
"1580","61580","MIDDLEFIELD & MATADERO","","37.431304341999997","-122.126156155","1"
"1547","61547","MIDDLEFIELD & LAYNE","","37.429817851000003","-122.123495783","1"
"4243","64243","LOUIS & AMARILLO","","37.438690346999998","-122.12516504200001","1"
"4300","64300","LOUIS & FIELDING","","37.438419690000003","-122.124950715","1"
"4301","64301","LOUIS & COLORADO","","37.436871820999997","-122.12249659","1"
"4242","64242","LOUIS & COLORADO","","37.436883580999996","-122.12230350900001","1"
"535","60535","EL MONTE & BAY TREE","","37.365205271999997","-122.116004538","1"
"542","60542","EL MONTE & SUMMERHILL","","37.365833246000001","-122.11514194199999","1"
"536","60536","EL MONTE & VOORHEES","","37.363048335999999","-122.118218504","1"
"541","60541","EL MONTE & VOORHEES","","37.363290384999999","-122.117577039","1"
"534","60534","EL MONTE & UNIVERSITY","","37.369041918999997","-122.112339357","1"
"543","60543","EL MONTE & UNIVERSITY","","37.368633142","-122.112459097","1"
"533","60533","SAN ANTONIO & LYELL","","37.375942000000002","-122.114328","1"
"685","60685","SAN ANTONIO & HILLVIEW","","37.379941899000002","-122.114076002","1"
"531","60531","SAN ANTONIO & HILLVIEW","","37.379685567999999","-122.114277063","1"
"532","60532","SAN ANTONIO & WHITNEY","","37.377803499999999","-122.114293516","1"
"684","60684","SAN ANTONIO & PEPPER","","37.377040915999999","-122.11406463199999","1"
"683","60683","SAN ANTONIO & LYELL","","37.375606091000002","-122.11410475","1"
"528","60528","SAN ANTONIO & YERBA BUENA","","37.387550290999997","-122.114279615","1"
"688","60688","SAN ANTONIO & YERBA BUENA","","37.388086893000001","-122.114042535","1"
"687","60687","SAN ANTONIO & ALMOND","","37.385279312000002","-122.114049272","1"
"529","60529","SAN ANTONIO & ALMOND","","37.385112200999998","-122.114315104","1"
"686","60686","SAN ANTONIO & ANGELA","","37.382634355","-122.114029222","1"
"530","60530","SAN ANTONIO & EDITH","","37.382054369000002","-122.11432596100001","1"
"527","60527","SAN ANTONIO & PINE","","37.392004333000003","-122.11428185699999","1"
"689","60689","SAN ANTONIO & ARBUELO","","37.392100767000002","-122.11404710399999","1"
"501","60501","EL CAMINO & SAN ANTONIO","","37.401909353999997","-122.11449915999999","1"
"691","60691","SAN ANTONIO & EL CAMINO","","37.401591000000003","-122.113198","1"
