stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
80374,80374,West Ave @ Leo Dr,38.41864,-122.727592,0
80375,80375,West Ave @ South Ave,38.423214,-122.728134,0
80376,80376,West Ave @ Sunset Ave,38.427761,-122.728607,0
80377,80377,Petaluma Hill Rd @ Barham Ave,38.427727,-122.71048,0
80378,80378,Petaluma Hill Rd @ Colgan Ave,38.4231,-122.707794,0
80379,80379,Petaluma Hill Rd @ Kawana Springs Rd,38.416271,-122.704323,0
80380,80380,Yolanda Ave @ Petaluma Hill Rd,38.413292,-122.70639,0
80381,80381,Yolanda Ave @ Santa Rosa Ave,38.413216,-122.712761,0
80382,80382,Kawana Springs Rd @ Santa Rosa Ave,38.416416,-122.712791,0
80383,80383,Kawana Springs Rd @ Meadow Wy,38.416458,-122.708176,0
80384,80384,Petaluma Hill Rd @ Kawana Springs Rd,38.416622,-122.704216,0
80385,80385,Petaluma Hill Rd @ Santa Ana Wy,38.421932,-122.706833,0
80386,80386,Petaluma Hll Rd @ Aston Ave,38.423622,-122.707977,0
80387,80387,Petaluma Hill Rd @ Pressley St,38.427826,-122.710457,0
80388,80388,Ninth St @ Davis St,38.442333,-122.722107,0
80389,80389,Frances Ave @ Cleveland Ave,38.450333,-122.72702,0
80390,80390,Range Ave @ Jennings Ave,38.452782,-122.731544,0
80391,80391,Range Ave @ Edwards Ave,38.454781,-122.732262,0
80392,80392,Coffey Ln @ Becky Ct,38.462234,-122.741692,0
80393,80393,Coffey Ln @ Bluebell Dr,38.465748,-122.741623,0
80394,80394,Coffey Ln @ Piner Rd,38.467648,-122.7444,0
80395,80395,Coffey Ln @ Empire Industrial Ct,38.470181,-122.745369,0
80396,80396,Coffey Ln @ San Miguel Rd,38.473923,-122.74678,0
80397,80397,Coffey Ln @ Dogwood Dr,38.476799,-122.747063,0
80398,80398,Hopper Ave @ Coffey Ln,38.479679,-122.746597,0
80399,80399,Hopper Ave @ Banyan Pl,38.479649,-122.741478,0
80400,80400,Stony Point Rd @ West College Ave,38.444843,-122.751862,0
80401,80401,Sonoma Ave @ Gray Ct,38.439301,-122.706596,0
80402,80402,Sonoma Ave @ Brookwood Ave,38.440502,-122.702202,0
80403,80403,Sonoma Ave @ Doyle Park Dr,38.441589,-122.698242,0
80404,80404,Sonoma Ave @ Hoen Ave,38.442566,-122.694656,0
80405,80405,Sonoma Ave @ Doctors Park Dr,38.443352,-122.691788,0
80406,80406,Sonoma Ave @ Church St,38.444077,-122.68914,0
80407,80407,Sonoma Ave @ Farmers Ln,38.44487,-122.686333,0
80408,80408,Hahman Dr @ Midway Dr,38.446491,-122.686165,0
80409,80409,Montgomery Dr @ Franquette Ave,38.448086,-122.682388,0
80410,80410,Montgomery Dr @ Yulupa Ave,38.44957,-122.679047,0
80411,80411,Montgomery Dr @ Jacqueline Dr,38.452091,-122.675117,0
80412,80412,Montgomery Dr @ Summerfield Rd,38.454369,-122.672371,0
80413,80413,Mission Blvd @ Quigg Dr,38.458191,-122.67305,0
80414,80414,Mission Blvd @ Hwy 12,38.45911,-122.674843,0
80415,80415,Mission Blvd @ Sherbrook Dr,38.463127,-122.675766,0
80416,80416,Mission Blvd @ Culebra Dr,38.46571,-122.676277,0
80417,80417,Mission Blvd @ Yukon Dr,38.467403,-122.676743,0
80418,80418,Mission Blvd @ Montecito Blvd,38.47187,-122.67688,0
