route_id,service_id,trip_id,trip_headsign,block_id,shape_id,trip_index,trp_time_end,trp_place_end,trp_place_end_descr,trp_trip_ST,trp_block,trp_operating_days
69A-119,20182D-vs20182D-Weekday-12,3432042-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Watsonville TC",588505,69A0005,4411,16:15:00,wtc,"Watsonville Transit Center",0,7105,
69W-119,20182D-vs20182D-Weekday-12,3432043-20182D-vs20182D-Weekday-12,"69W - Cabrillo College - Watsonville TC",588495,69W0005,4412,16:50:00,wtc,"Watsonville Transit Center",0,6902,
69A-119,20182D-vs20182D-Weekday-12,3432044-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Watsonville TC",588508,69A0005,4413,17:25:00,wtc,"Watsonville Transit Center",0,7106,
69W-119,20182D-vs20182D-Weekday-12,3432045-20182D-vs20182D-Weekday-12,"69W - Cabrillo College - Watsonville TC",588499,69W0005,4414,17:50:00,wtc,"Watsonville Transit Center",0,6904,
69A-119,20182D-vs20182D-Weekday-12,3432046-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Watsonville TC",588494,69A0005,4415,18:15:00,wtc,"Watsonville Transit Center",0,1903,
69W-119,20182D-vs20182D-Weekday-12,3432047-20182D-vs20182D-Weekday-12,"69W - Cabrillo College - Watsonville TC",588507,69W0005,4416,18:45:00,wtc,"Watsonville Transit Center",0,9101,
55-119,20182D-vs20182D-Weekday-12,3432048-20182D-vs20182D-Weekday-12,"55 - Rio Del Mar",588427,550009,4417,18:40:00,cpmal,"Capitola Mall",0,3507,
35-119,20182D-vs20182D-Weekday-12,3432049-20182D-vs20182D-Weekday-12,"35 - Glen Arbor - Mt. Store - Sylvan Way",588408,350062,4418,15:05:00,9sylvn,"Hwy 9 & Sylvan Ave",3,3571,
35-119,20182D-vs20182D-Weekday-12,3432050-20182D-vs20182D-Weekday-12,"35 - Hwy 9 - Country Club",588409,350036,4419,15:25:00,bigchi,"Big Basin Way & China Grade Rd",3,3572,
35-119,20182D-vs20182D-Weekday-12,3432051-20182D-vs20182D-Weekday-12,"35 - Glen Arbor - Mt. Store - Sylvan Way",588410,350035,4420,15:25:00,9sylvn,"Hwy 9 & Sylvan Ave",3,3573,
35-119,20182D-vs20182D-Weekday-12,3432052-20182D-vs20182D-Weekday-12,"35 - Boulder Creek",588410,350048,4421,15:38:00,9lomnd,"Hwy 9 & Lomond (Boulder Cr.)",3,3573,
42-119,20182D-vs20182D-Weekday-12,3432053-20182D-vs20182D-Weekday-12,"42 - Davenport - Bonny Doon",588419,420010,4422,18:55:00,scmc,"Santa Cruz Metro Center",0,3509,
91X-119,20182D-vs20182D-Weekday-12,3432054-20182D-vs20182D-Weekday-12,"91X - Commuter Express to Santa Cruz",588496,91X0013,4423,06:44:00,scmc,"Santa Cruz Metro Center",0,7101,
69A-119,20182D-vs20182D-Weekday-12,3432055-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Watsonville TC",588497,69A0005,4424,15:15:00,wtc,"Watsonville Transit Center",0,6901,
69A-119,20182D-vs20182D-Weekday-12,3432056-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Santa Cruz Metro",588504,69A0006,4425,12:55:00,scmc,"Santa Cruz Metro Center",0,1901,
69A-119,20182D-vs20182D-Weekday-12,3432057-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Santa Cruz Metro",588495,69A0006,4426,13:55:00,scmc,"Santa Cruz Metro Center",0,6902,
69A-119,20182D-vs20182D-Weekday-12,3432058-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Santa Cruz Metro",588499,69A0006,4427,14:55:00,scmc,"Santa Cruz Metro Center",0,6904,
69A-119,20182D-vs20182D-Weekday-12,3432059-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Santa Cruz Metro",588486,69A0006,4428,16:00:00,scmc,"Santa Cruz Metro Center",0,7111,
69A-119,20182D-vs20182D-Weekday-12,3432060-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Watsonville TC",588499,69A0005,4429,13:07:00,wtc,"Watsonville Transit Center",0,6904,
69A-119,20182D-vs20182D-Weekday-12,3432061-20182D-vs20182D-Weekday-12,"69A - Capitola Road - Watsonville TC",588484,69A0005,4430,14:07:00,wtc,"Watsonville Transit Center",0,7110,
