stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,is_trans_ctr,at_trans_ctr,direction
1216,1216,"Bay Ave & Capitola Ave",,  36.979069,-121.953644,,http://scmtd.com/stop/1216,0,,,,0,0,2
1217,1217,"Bay Ave & Hill",,  36.980904,-121.955490,,http://scmtd.com/stop/1217,0,,,,0,0,2
1219,1219,"Bay (Garfield Park Village)",,  36.962437,-122.034164,,http://scmtd.com/stop/1219,0,,,,0,0,2
1220,1220,"Bay (Neary Lagoon Park)",,  36.962482,-122.033958,,http://scmtd.com/stop/1220,0,,,,0,0,1
1222,1222,"Bay & Redwood",,  36.963928,-122.036446,,http://scmtd.com/stop/1222,0,,,,0,0,2
1223,1223,"Bay & Seaside",,  36.965504,-122.038521,,http://scmtd.com/stop/1223,0,,,,0,0,1
1224,1224,"Bay & Seaside",,  36.965202,-122.038338,,http://scmtd.com/stop/1224,0,,,,0,0,2
1225,1225,"Bay & Mission (Bay View School)",,  36.966209,-122.039833,,http://scmtd.com/stop/1225,0,,,,0,0,2
1226,1226,"Bay & Mission",,  36.966919,-122.040604,,http://scmtd.com/stop/1226,0,,,,0,0,1
1227,1227,"Bay & King",,  36.968300,-122.043312,,http://scmtd.com/stop/1227,0,,,,0,0,1
1228,1228,"Bay & Escalona Dr",,  36.969410,-122.045906,,http://scmtd.com/stop/1228,0,,,,0,0,1
1230,1230,"Bay Dr & Iowa Dr",,  36.974297,-122.050400,,http://scmtd.com/stop/1230,0,,,,0,0,1
1231,1231,"Bay & Nobel Dr",,  36.973709,-122.050110,,http://scmtd.com/stop/1231,0,,,,0,0,2
1232,1232,"Bay Dr & Meder",,  36.975456,-122.052437,,http://scmtd.com/stop/1232,0,,,,0,0,1
1236,1236,"Big Basin Way & Hwy 9",,  37.125347,-122.122658,,http://scmtd.com/stop/1236,0,,,,0,0,1
1237,1237,"Big Basin Way & Boulder Brook Dr",,  37.130600,-122.134613,,http://scmtd.com/stop/1237,0,,,,0,0,1
1238,1238,"Big Basin Way & Redwood Ave",,  37.124828,-122.126190,,http://scmtd.com/stop/1238,0,,,,0,0,2
1239,1239,"Big Basin Way & Ridge Dr (Forest Pool)",,  37.135456,-122.140900,,http://scmtd.com/stop/1239,0,,,,0,0,1
1240,1240,"Big Basin Way (Brackenbrae Br)",,  37.138317,-122.143929,,http://scmtd.com/stop/1240,0,,,,0,0,1
1241,1241,"Big Basin Way & Acorn Dr",,  37.139378,-122.148872,,http://scmtd.com/stop/1241,0,,,,0,0,1
1242,1242,"Big Basin Way & Acorn Dr",,  37.138859,-122.148087,,http://scmtd.com/stop/1242,0,,,,0,0,2
1243,1243,"Big Basin Way & Fallen Leaf Dr",,  37.144855,-122.156685,,http://scmtd.com/stop/1243,0,,,,0,0,1
1244,1244,"Big Basin Way & Fallen Leaf Dr",,  37.144703,-122.156837,,http://scmtd.com/stop/1244,0,,,,0,0,2
1246,1246,"Big Basin Way & Jamison Creek Rd",,  37.146034,-122.157898,,http://scmtd.com/stop/1246,0,,,,0,0,2
1247,1247,"Big Basin Way (Country Club)",,  37.153385,-122.161385,,http://scmtd.com/stop/1247,0,,,,0,0,2
1250,1250,"Bonny Doon Rd & Phillips Ranch Rd (Mc Henry Vnyd)",,  37.065868,-122.151726,,http://scmtd.com/stop/1250,0,,,,0,0,1
